fecha_dia,fecha_hora,id_solicitud,sku,monto,dias_desde_compra,estado_producto,email_cliente,ruta,motivo,U,D,valor_uf,monto_uf,aprobacion_auto
2026-09-08,2026-09-08T09:20:37.310-04:00,DEV-1124,HV-050,49980,1,abierto_sin_uso,cliente10@example.cl,REVISION,REVISION_MONTO,46000,21,40884.32,1.2224735546537158,0
2026-09-08,2026-09-08T09:20:37.398-04:00,DEV-C02,LV-330,289990,2,sin_abrir,control02@example.cl,REVISION,REVISION_MONTO,46000,21,40884.32,7.09293929799982,0
2026-09-08,2026-09-08T09:20:37.090-04:00,DEV-1118,MW-150,79990,4,sin_abrir,cliente4@example.cl,REVISION,REVISION_MONTO,46000,21,40884.32,1.956495791051435,0
2026-09-08,2026-09-08T09:20:36.983-04:00,DEV-1123,AU-210,39980,15,danado_por_uso,cliente9@example.cl,RECHAZO,RECHAZO_ESTADO,46000,21,40884.32,0.9778810067037925,0
2026-09-08,2026-09-08T09:20:37.069-04:00,DEV-1117,HV-050,24990,12,con_fallas,cliente3@example.cl,REVISION,REVISION_FALLA,46000,21,40884.32,0.6112367773268579,0
2026-09-08,2026-09-08T09:20:36.812-04:00,DEV-1116,TE-330,69980,5,abierto_sin_uso,cliente2@example.cl,REVISION,REVISION_MONTO,46000,21,40884.32,1.7116586505535618,0
2026-09-08,2026-09-08T09:20:37.437-04:00,DEV-C03,MW-150,79990,29,abierto_sin_uso,control03@example.cl,RECHAZO,RECHAZO_PLAZO,46000,21,40884.32,1.956495791051435,0
2026-09-08,2026-09-08T09:20:37.164-04:00,DEV-1122,PL-120,45990,2,sin_abrir,cliente8@example.cl,APROBACION,APROBACION,46000,21,40884.32,1.1248811280216964,1
2026-09-08,2026-09-08T09:20:37.117-04:00,DEV-1120,AS-260,89990,2,con_fallas,cliente6@example.cl,REVISION,REVISION_MONTO,46000,21,40884.32,2.201088339001358,0
2026-09-08,2026-09-08T09:20:37.016-04:00,DEV-1115,AU-210,19990,3,sin_abrir,cliente1@example.cl,APROBACION,APROBACION,46000,21,40884.32,0.48894050335189626,1
2026-09-08,2026-09-08T09:20:37.239-04:00,DEV-C01,CB-010,9990,1,sin_abrir,control01@example.cl,APROBACION,APROBACION,46000,21,40884.32,0.24434795540197318,1
2026-09-08,2026-09-08T09:20:37.043-04:00,DEV-1119,PL-120,45990,25,danado_por_uso,cliente5@example.cl,RECHAZO,RECHAZO_PLAZO,46000,21,40884.32,1.1248811280216964,0
2026-09-08,2026-09-08T09:20:37.185-04:00,DEV-1121,LV-330,289990,9,sin_abrir,cliente7@example.cl,REVISION,REVISION_MONTO,46000,21,40884.32,7.09293929799982,0
2026-09-08,2026-09-08T09:20:37.341-04:00,DEV-1125,TE-330,34990,22,sin_abrir,cliente11@example.cl,RECHAZO,RECHAZO_PLAZO,46000,21,40884.32,0.8558293252767809,0
2026-09-08,2026-09-08T09:20:37.370-04:00,DEV-1126,MW-150,79990,8,con_fallas,cliente12@example.cl,REVISION,REVISION_MONTO,46000,21,40884.32,1.956495791051435,0
